from_id,to_id,relation_type,notes
N1,N2,addressed_by,"mechanism blocker triggered the swarm"
N2,N3,produced,"swarm produced the hook-injection finding"
N3,N4,informs,"finding drove the no-output-style decision"
N4,N5,produces,"decision embodied in the pre-eng artifacts"
N5,N6,yields,"artifacts complete the pre-eng plan"
N6,N7,generalizes_to,"outcome generalizes into a reusable pattern"
N2,N8,produced,"swarm also produced the scope P0 finding"
N8,N4,informs,"scope finding shaped the directive/decision"
N2,N9,produced,"swarm produced the fidelity-floor decision"
N9,N5,embodied_in,"fidelity floor embodied in spec/tasks"
N10,N4,constrains,"U1 constrains the injector contract (spike-gated)"
N10,N5,constrains,"U1 gates SL-03 injector finalization"
