rank,name,domain,verdict_com,checked_at_utc,lookup_channel,greek_seed_word,greek_root_sense,letters_changed_from_seed,syllables,letters,ends_with,zee_shape,sound_pattern,cluster,relevance_0_2,meaning_0_2,sound_0_2,min_score,avg_score,flags,association_note,trademark_note,spelling_notes,substring_note
1,praxut,praxut.com,AVAILABLE,2026-07-25T07:00:23.463Z,rdap:iana-bootstrap,praxis,"praxis (practice, action)",2,2,6,t,CCVCVC onset-crunch,CCVCVC,pr,2,2,2,2,2,spelling-notes:1,,,'x' before a vowel — may be heard as 'z' or 'ks',
2,symdol,symdol.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,symbol,"symbolon (token, sign)",1,2,6,l,CVCCVC mid-crunch,CVCCVC,md,2,2,2,2,2,spelling-notes:1,"'-dol' is a common drug suffix (tramadol, tylenol)",,'y' as a vowel — may be written as 'i',
3,tacnic,tacnic.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tactic,taktikos (of arrangement),1,2,6,c,CVCCVC mid-crunch,CVCCVC,cn,1,2,2,1,1.67,,,,,
4,tacric,tacric.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tactic,taktikos (of arrangement),1,2,6,c,CVCCVC mid-crunch,CVCCVC,cr,1,2,2,1,1.67,,,,,
5,glypar,glypar.com,AVAILABLE,2026-07-25T07:00:23.463Z,rdap:iana-bootstrap,glyph,glyphe (carving),2,2,6,r,CCVCVC onset-crunch,CCVCVC,gl,2,2,1,1,1.67,spelling-notes:2,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i',
6,tactuc,tactuc.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tactic,taktikos (of arrangement),1,2,6,c,CVCCVC mid-crunch,CVCCVC,ct,1,2,1,1,1.33,,,,,
7,tympun,tympun.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tympan,tympanon (drum),1,2,6,n,CVCCVC mid-crunch,CVCCVC,mp,1,1,2,1,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
8,cyclol,cyclol.com,AVAILABLE,2026-07-25T07:00:23.463Z,rdap:iana-bootstrap,cyclops,kyklops (round-eye),2,2,6,l,CVCCVC mid-crunch,CVCCVC,cl,1,2,1,1,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
9,dactur,dactur.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,dactyl,"daktylos (finger, metrical foot)",2,2,6,r,CVCCVC mid-crunch,CVCCVC,ct,1,1,2,1,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
10,mantog,mantog.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,mantic,mantikos (prophetic),2,2,6,g,CVCCVC mid-crunch,CVCCVC,nt,1,1,2,1,1.33,,,,,
11,tetrec,tetrec.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tetrad,tetras (group of four),2,2,6,c,CVCCVC mid-crunch,CVCCVC,tr,1,1,2,1,1.33,,,,,
