node_id,short_name,kind,description,actor,date,session,labels,importance,risk_category,notes
N001,Turn-boundary server death,BLOCKER,"A long-running local server is reaped at the harness turn boundary; run_in_background binds, curls 200, then takes SIGTERM (exit 143). The editor's entire premise is a long-running local server.",preeng-worker,2026-07-26,preeng-001-website-builder,"R5;gate-16a;server;blocking",10,technical-feasibility,"First-party verified across four documented attempts [V]. Only a Python double-fork daemon has ever worked here."
N002,Gate 16-A probe,TOOL,"scripts/probes/probe-turn-boundary.ts plus the F1-F5 launcher ladder: launch, same-turn curl, END THE TURN, curl again in a separate tool call, confirm the pid is still in ps, repeat across two further boundaries and one eternity /clear.",preeng-worker,2026-07-26,preeng-001-website-builder,"probe;launcher-ladder;S01",10,technical-feasibility,"The single sequencing rule of the whole plan: run this first. F4 and F5 each require explicit user sign-off."
N003,Server survival is unproven in pure TypeScript,FINDING,"O5 is unresolved: no pure-TS rung has been demonstrated to survive the boundary on this machine. F3 (a ~15-line POSIX sh launcher) is the preferred fallback because it keeps 100% of the server in TypeScript.",preeng-worker,2026-07-26,preeng-001-website-builder,"O5;unproven;S01",9,technical-feasibility,"[I] on which rung will pass. Honest residual: if F1-F3 fail and both F4 and F5 are refused, the browser-editor premise must be rescoped."
N004,Gate 16-A blocks all server-dependent scope,DECISION,"Nothing server-dependent is treated as committed until Gate 16-A passes. S01 is the first slice of the plan and is the only slice carrying blocking=true.",preeng-worker,2026-07-26,preeng-001-website-builder,"sequencing;blocking;E0",10,schedule,"Mechanically enforced: S01 is a transitive prerequisite of S08 and therefore of every server-dependent slice."
N005,tasks/S01-gate-16a-and-launcher-rung.md,ARTIFACT,"The diagnostic slice that runs the probe, walks the ladder and records ADR-01 naming the passing rung and the exact launch invocation.",preeng-worker,2026-07-26,preeng-001-website-builder,"task-file;diagnostic;ADR-01",10,technical-feasibility,"Its QA section rejects any post-boundary check performed in the same turn as the launch."
N006,Buildability of the product is decided in under an hour,OUTCOME,"The probe costs under an hour and decides whether the product is buildable as written, before any product code exists.",preeng-worker,2026-07-26,preeng-001-website-builder,"cheap-gate;E0",10,technical-feasibility,"[I] on the under-an-hour figure - inference, low confidence, not measured."
N007,Cheapest disqualifying probe first,PATTERN,"Sequence the whole plan so the cheapest experiment that can disqualify the architecture runs before anything expensive is built. Six diagnostic slices (S01-S06) precede all 68 build slices.",preeng-worker,2026-07-26,preeng-001-website-builder,"canonical-candidate;phase-0;diagnostic",10,schedule,"CANONICAL CANDIDATE. Reusable beyond this feature: the E0 spike suite is the transferable shape."
N008,Silent truncation of a pasted design system,BLOCKER,"A truncated CSS/HTML/SVG payload is syntactically valid and renders, so tokens cut at 40 of 62 properties are accepted with no error anywhere.",preeng-worker,2026-07-26,preeng-001-website-builder,"R3;ingest;hand-carry",9,data-integrity,"Diagnosis would require diffing against a direction the user has never seen in full."
N009,Envelope manifest with per-run terminator,TOOL,"Declared file list, per-file line counts, sha256 prefixes, smallest-first ordering and a per-run random terminator, validated at ingest with hard refusal and quarantine.",preeng-worker,2026-07-26,preeng-001-website-builder,"envelope;S17;S18;S19",9,data-integrity,"Rejected payloads are quarantined, never partially applied."
N010,The prompt is a lottery ticket not a build artifact,FINDING,"Step-3 output is non-deterministic and the model drifts, so the RESULT must be persisted as the artifact of record and the prompt kept for provenance only.",preeng-worker,2026-07-26,preeng-001-website-builder,"R45;determinism;provenance",8,process,"Never plan to re-derive a system from a stored prompt."
N011,Local Regeneration Mode as a first-class escape hatch,DECISION,"The identical prompt is run by a Claude Code path with zero pastes, making the claude.ai web hop a UX preference rather than a technical dependency.",preeng-worker,2026-07-26,preeng-001-website-builder,"R7;S20;hand-carry",9,adoption,"Directly attacks the most likely quiet death of the product: the paste marathon on site 2."
N012,Localhost is not a trust boundary,BLOCKER,"CVE-2025-24010-class DNS-rebinding and cross-origin reach; Step 3 is an unauthenticated code-import channel whose payload is evaluated by the dev server and bundled into the published site.",preeng-worker,2026-07-26,preeng-001-website-builder,"R16;R17;security",9,security,"Eight security controls of record [V section 12.12], not the six carried into the inputs."
N013,Eight-control security posture,DECISION,"Bind 127.0.0.1 only, Origin allowlist, bearer token, semantic-op wire format, path allowlist, idle shutdown, plus the two the source adds; the importer validates and quarantines.",preeng-worker,2026-07-26,preeng-001-website-builder,"S37;S38;S39;security",9,security,"Must land with the first live editor (priority 12), not after it."
N014,Two writers with no lock,BLOCKER,"The product encourages alternating between talking to Claude and dragging in the browser, so silent work loss is near-certain rather than a corner case.",preeng-worker,2026-07-26,preeng-001-website-builder,"R6;concurrency",9,data-integrity,"One writer: wb-server is the only process that writes layout.json, content.json and history.jsonl."
N015,Optimistic concurrency plus a PreToolUse ownership guard,DECISION,"409 on a stale ETag, editor.lock for processes, an SSE tab claim for the two-tab case, and a cheap fail-open PreToolUse guard blocking Claude's writes while the editor lock is held.",preeng-worker,2026-07-26,preeng-001-website-builder,"S38;S39;hooks",9,data-integrity,"Every save is a commit."
N016,DOM as source of truth would be Dreamweaver 2003,BLOCKER,"If the DOM is the source of truth the product is a 2003 WYSIWYG, and worse, because Claude is also writing the source.",preeng-worker,2026-07-26,preeng-001-website-builder,"R4;document-model",10,architecture,"Hard PRD constraint, not a note."
N017,layout.json is the only source of truth,DECISION,"Pure render from layout.json + content.json + tokens; the editor never serialises the DOM; zero DOM injection for hit-testing; one renderer serves the design surface and LOCK.",preeng-worker,2026-07-26,preeng-001-website-builder,"S24;S25;TR3;TR4",10,architecture,"D3's re-render-not-copy-and-strip depends entirely on this."
N018,Constraint editors are the experiment the market already ran,FINDING,"Wix Editor X sunset April 2024 and killed January 2025; Adobe Muse killed 2018/2020; Webflow's bidirectional cascade is a recurring forum complaint. The closest commercial analogue is dead.",preeng-worker,2026-07-26,preeng-001-website-builder,"R8;market-history;CQ2",9,product-risk,"'Move the hero headline 12px up' is one drag in a free canvas and a four-way CSS puzzle under D2."
N019,DECISION-1 option B pulls the canvas into v1,DECISION,"v1 ships gridlines AND full constraint dragging. Section 18's editor-lite v1 scope is REJECTED; its timeline, its v1 scope-in list and section 13's gate budgets are stale and re-baselined. R47 retired.",zee,2026-07-26,preeng-001-website-builder,"DECISION-1;D2;E9;binding",10,schedule,"Decided 2026-07-26. Cost: +16-24 days, ~25-35 days against the revised baseline [I - inference, low confidence, not measured]."
N020,Epic E9 the canvas as seven sequenced sub-slices,ARTIFACT,"S41 gridline overlay, S42 snap engine, S43 drag-to-place, S44 span and spacing handles, S45 keyboard parity, S46 override cascade with the pre-commit chip, S48 free-position escape hatch, S49 the tradeable tail.",preeng-worker,2026-07-26,preeng-001-website-builder,"E9;task-files;D2",10,schedule,"S49 is the only COULD in the entire 78-slice backlog."
N021,D2 is exercised in the first shipping version,OUTCOME,"Demo 3 (S50) is the first real exercise of the constraint drag model, so R8 is either survived or diagnosed inside v1 rather than after it.",preeng-worker,2026-07-26,preeng-001-website-builder,"Demo-3;S50;R8",10,product-risk,"The overridden recommendation's objection stands: this front-loads the highest-risk unproven mechanic."
N022,Retire a risk by scheduling it early not by writing about it,PATTERN,"R47 (v1 would ship without exercising D2 at all) is retired by moving the mechanic into v1, not by adding a mitigation paragraph.",preeng-worker,2026-07-26,preeng-001-website-builder,"canonical-candidate;risk-retirement",9,product-risk,"CANONICAL CANDIDATE. The cost is explicit and carried, not hidden."
N023,Editor runtime leaks into published output,BLOCKER,"WYSIWYG editors leak their own runtime into the published site and there is normally no proof the shipped site is clean.",preeng-worker,2026-07-26,preeng-001-website-builder,"P5;D3;LOCK",9,output-quality,"And no way to unlock and keep editing without divergence."
N024,Eight purity gates and a 32-check lock-time checklist,TOOL,"Re-render with editor:false, scrub, zero data-wb-* in dist/published (build-failing grep), two-build byte equality under diff -r, and 32 ordered checks = 28 base plus 4a, 11a, 13a, 23a.",preeng-worker,2026-07-26,preeng-001-website-builder,"S66;S67;S68;gates",10,output-quality,"Eight purity gates [V section 12.5], not the five carried into the inputs; 32 checks [V section 13.4], not 28."
N025,Byte reproducibility is unestablished by any consulted source,FINDING,"No consulted source establishes that the candidate bundler produces byte-identical builds across two installs. Section 12.8 only constrains our own generator's determinism.",preeng-worker,2026-07-26,preeng-001-website-builder,"DECISIONS-5;S05;D3",9,output-quality,"The documented fallback (normalised comparison) explicitly WEAKENS D3's proof and itself needs sign-off."
N026,Run the reproducibility spike before promising the guarantee,DECISION,"S05 runs first; success criterion S4 is written against the spike's outcome rather than against a hoped-for guarantee.",preeng-worker,2026-07-26,preeng-001-website-builder,"S05;S4;D3",9,output-quality,"S05 is a transitive prerequisite of S67, so the gate cannot be built before its own feasibility is known."
N027,A gate that fails spuriously gets disabled by whoever is shipping,ANTI_PATTERN,"Claiming a guarantee the toolchain cannot give produces a gate that fails for reasons nobody can fix, and it is then switched off - taking the real guarantee with it.",preeng-worker,2026-07-26,preeng-001-website-builder,"anti-pattern;gates;R15",9,output-quality,"Same failure shape as a false-positive wb verify: users learn to ignore it and the drift guarantee dies silently."
N028,No AI aesthetic judging,DECISION,"NG1. The VLM judge loop and autonomous Wigum aesthetic iteration are not ported under any circumstances; the human is the sole aesthetic judge and machines enforce only machine-checkable correctness.",zee,2026-07-26,preeng-001-website-builder,"NG1;settled;architecture",10,product-risk,"VLM recall of aesthetic animation measured 0.16 [U - prior report, flagged unvalidated end-to-end]."
N029,Machine-checkable correctness is non-negotiable and human taste is not machine-judged,PATTERN,"Split the acceptance surface: contrast, reflow, token purity, licence completeness and export purity are gates the human may not wave through; everything aesthetic is the human's call and is merely recorded.",preeng-worker,2026-07-26,preeng-001-website-builder,"canonical-candidate;gates;governance",10,governance,"CANONICAL CANDIDATE. This is the line that keeps the rejected autonomous architecture out."
N030,Acceptance-criterion ids collide above A90,BLOCKER,"A91-A97 are defined three times in the source PRD (section 7, section 12.17, section 18) and A98-A101 twice. The prior register recorded a two-section collision.",preeng-worker,2026-07-26,preeng-001-website-builder,"NA-19;traceability;A91",8,traceability,"Section 12.5 announces A91-A99 while its own section 12.17 table runs to A101."
