node_id,short_name,kind,description,actor,date,session,labels,importance,risk_category,notes
CB-CONC,concurrent-writes-corrupt-index,BLOCKER,A shared registry can be silently corrupted by a crash or a concurrent second writer.,preeng-worker,2026-07-16,preeng-005,registry|durability,high,data-integrity,head of the mandatory chain
CT-CRASHTEST,atomic-write-crash-test,TOOL,stdlib py3.9.6 contention harness: 6 processes x 60 writes; mkstemp vs fixed .tmp.,preeng-worker,2026-07-16,preeng-005,python|stdlib,high,,chain link 2
CF-CONC,3of25-valid-but-wrong,FINDING,Without a lock 3/25 concurrent writes survive while remaining VALID JSON; mkstemp 0/360 torn (house 180/360).,preeng-worker,2026-07-16,preeng-005,measurement|T3,high,data-integrity,chain link 3
CD-SHARDED,per-project-sharded-json,DECISION,"One JSON file per project, one writer per file; never a shared master, never YAML/SQLite.",preeng-worker,2026-07-16,preeng-005,C1|SPINE,high,,chain link 4
CA-DATAMODEL,data-model-E1-atomic-write,ARTIFACT,data-model.md E1 + registry_lib.py atomic path: mkstemp->fsync(tmp)->os.replace->fsync(dir).,preeng-worker,2026-07-17,preeng-005,artifact|schema,high,,chain link 5
CO-DURABLE,durable-substrate-0-torn,OUTCOME,A per-project write a crash or a second writer cannot corrupt silently (target 6x60 -> 0 torn).,preeng-worker,2026-07-17,preeng-005,nfr|durability,high,,chain link 6
CP-ONEWRITER,one-writer-per-file,PATTERN,One writer per file dissolves the lost-update/lock/reaper problem by construction.,preeng-worker,2026-07-17,preeng-005,pattern|canonical,high,,chain tail (PATTERN)
B-SILENT,silent-failure-base-rate,BLOCKER,"Silent failure is this machine's base rate: ALL-GREEN doctor over 2,000+ failures; head -40 hiding 34/74.",preeng-worker,2026-07-16,preeng-005,trust|honesty,high,trust,the dominant domain fact
B-FORCEQUIT,force-quit-loses-reasoning,BLOCKER,"Force-quit loses working reasoning with no way back; files survive, the why dies.",preeng-worker,2026-07-16,preeng-005,continuity|DR-8,high,,
B-CMUX-UNVERIFIED,cmux-0.64.x-behavior-unverified,BLOCKER,"workspace.select/close, surface.resume.*, hibernation, customDescription-restart all UNVERIFIED.",preeng-worker,2026-07-16,preeng-005,cmux|T4,high,platform,gates the close skill
B-RESIDUAL10,pane-blind-tier3-resume,BLOCKER,eternity-resume-prepend.sh:158-169 offers a non-pane-scoped resume -> cross-pane contamination.,preeng-worker,2026-07-16,preeng-005,eternity|risk10,high,contamination,must be fixed FIRST
