rank,name,domain,verdict_com,checked_at_utc,lookup_channel,greek_seed_word,greek_root_sense,letters_changed_from_seed,syllables,letters,ends_with,zee_shape,sound_pattern,cluster,relevance_0_2,meaning_0_2,sound_0_2,min_score,avg_score,flags,association_note,trademark_note,spelling_notes,substring_note
1,tympol,tympol.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tympan,tympanon (drum),2,2,6,l,CVCCVC mid-crunch,CVCCVC,mp,1,1,2,1,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
2,tympum,tympum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tympan,tympanon (drum),2,2,6,m,CVCCVC mid-crunch,CVCCVC,mp,1,1,2,1,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
3,gnosir,gnosir.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,gnosis,gnosis (knowledge),1,2,6,r,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
4,gnomuc,gnomuc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gnomon,gnomon (the pointer of a sundial),2,2,6,c,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,,,,,
5,gnomur,gnomur.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gnomon,gnomon (the pointer of a sundial),2,2,6,r,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
6,gnosal,gnosal.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gnosis,gnosis (knowledge),2,2,6,l,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,,,,,
7,gnosar,gnosar.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gnosis,gnosis (knowledge),2,2,6,r,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
8,gnosom,gnosom.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gnosis,gnosis (knowledge),2,2,6,m,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,,,,,
9,gnosul,gnosul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gnosis,gnosis (knowledge),2,2,6,l,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,,,,,
10,gnosur,gnosur.com,AVAILABLE,2026-07-25T07:00:23.463Z,rdap:iana-bootstrap,gnosis,gnosis (knowledge),2,2,6,r,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
