name,domain,verdict_com,greek_seed_word,why_rejected
coccyl,coccyl.com,AVAILABLE,coccyx,spoken 'KOK-sil' — audible 'cock' reading
coccym,coccym.com,AVAILABLE,coccyx,spoken 'KOK-sim' — audible 'cock' reading
coccyr,coccyr.com,AVAILABLE,coccyx,spoken 'KOK-sir' — audible 'cock' reading
cosmuc,cosmuc.com,AVAILABLE,cosmic,reads as 'muck' / 'mucus'
cystim,cystim.com,AVAILABLE,cystic,reads as 'cyst'
cystul,cystul.com,AVAILABLE,cystic,reads as 'cyst'
lithug,lithug.com,AVAILABLE,lithos,"famous-mark proximity: 2 edit(s) from ""github"""
mefhod,mefhod.com,AVAILABLE,method,'fh' is not a pronounceable English cluster
nekrar,nekrar.com,AVAILABLE,nectar,reads as 'necro-' (death)
pythec,pythec.com,AVAILABLE,python,"famous-mark proximity: 2 edit(s) from ""python"""
pythir,pythir.com,AVAILABLE,python,"2 edits from Python (PSF trademark, famous in software)"
pythog,pythog.com,AVAILABLE,python,"famous-mark proximity: 1 edit(s) from ""python"""
pythok,pythok.com,AVAILABLE,python,"famous-mark proximity: 1 edit(s) from ""python"""
pythol,pythol.com,AVAILABLE,python,"1 edit from Python (PSF trademark, famous in software)"
pythot,pythot.com,AVAILABLE,python,"famous-mark proximity: 1 edit(s) from ""python"""
pythul,pythul.com,AVAILABLE,python,"2 edits from Python (PSF trademark, famous in software)"
sepsic,sepsic.com,AVAILABLE,sepsis,"famous-mark proximity: 2 edit(s) from ""pepsi"""
sepsig,sepsig.com,AVAILABLE,sepsis,"famous-mark proximity: 2 edit(s) from ""pepsi"""
sepsil,sepsil.com,AVAILABLE,sepsis,reads as 'sepsis' (blood infection)
sepsir,sepsir.com,AVAILABLE,sepsis,"famous-mark proximity: 2 edit(s) from ""pepsi"""
stasep,stasep.com,AVAILABLE,stasis,"famous-mark proximity: 2 edit(s) from ""taser"""
stasir,stasir.com,AVAILABLE,stasis,"famous-mark proximity: 2 edit(s) from ""taser"""
syrinl,syrinl.com,AVAILABLE,syrinx,final 'nl' is not a pronounceable English ending
tympac,tympac.com,AVAILABLE,tympan,"famous-mark proximity: 2 edit(s) from ""tampax"""
tympal,tympal.com,AVAILABLE,tympan,"famous-mark proximity: 2 edit(s) from ""tampax"""
tympar,tympar.com,AVAILABLE,tympan,"famous-mark proximity: 2 edit(s) from ""tampax"""
tympat,tympat.com,AVAILABLE,tympan,"famous-mark proximity: 2 edit(s) from ""tampax"""
tympax,tympax.com,AVAILABLE,tympan,"famous-mark proximity: 1 edit(s) from ""tampax"""
