rank,domain,echoes,field,sound_note,checked_at
1,"plafet.com",planet,astro,"echoes ""planet"" (astro); 2-syllable, crisp -et ending",2026-07-24T04:54:03.355Z
2,"spigor.com",spinor,physics,"echoes ""spinor"" (physics); 2-syllable, crisp -or ending",2026-07-24T04:58:57.567Z
3,"plapar.com",planar,math,"echoes ""planar"" (math); 2-syllable, crisp -ar ending",2026-07-24T04:58:57.566Z
4,"secank.com",secant,math,"echoes ""secant"" (math); 2-syllable, crisp -nk ending",2026-07-24T04:54:03.354Z
5,"sulfut.com",sulfur,chem,"echoes ""sulfur"" (chem); 2-syllable, crisp -ut ending",2026-07-24T04:58:57.567Z
6,"vemtex.com",vertex,math,"echoes ""vertex"" (math); 2-syllable, crisp -ex ending",2026-07-24T04:54:03.353Z
7,"vuctor.com",vector,physics,"echoes ""vector"" (physics); 2-syllable, crisp -or ending",2026-07-24T04:54:03.353Z
8,"facmor.com",factor,math,"echoes ""factor"" (math); 2-syllable, crisp -or ending",2026-07-24T04:54:03.353Z
9,"masrix.com",matrix,math,"echoes ""matrix"" (math); 2-syllable, crisp -ix ending",2026-07-24T04:54:03.355Z
10,"mofent.com",moment,physics,"echoes ""moment"" (physics); 2-syllable, crisp -nt ending",2026-07-24T04:58:57.566Z
11,"nebulk.com",nebula,astro,"echoes ""nebula"" (astro); 2-syllable, crisp -lk ending",2026-07-24T04:54:03.352Z
12,"niskel.com",nickel,chem,"echoes ""nickel"" (chem); 2-syllable, crisp -el ending",2026-07-24T04:54:03.354Z
13,"slalar.com",scalar,physics,"echoes ""scalar"" (physics); 2-syllable, crisp -ar ending",2026-07-24T04:54:03.354Z
14,"plamid.com",plasmid,bio,"echoes ""plasmid"" (bio); 2-syllable, crisp -id ending",2026-07-24T04:54:03.352Z
15,"silvep.com",silver,chem,"echoes ""silver"" (chem); 2-syllable, crisp -ep ending",2026-07-24T04:58:57.567Z
