from_id,to_id,relation_type,notes
CB-CONC,CT-CRASHTEST,led_to_use,blocker prompts the crash-test tool
CT-CRASHTEST,CF-CONC,produced,tool yields the finding
CF-CONC,CD-SHARDED,informed,finding drives the decision
CD-SHARDED,CA-DATAMODEL,produced,decision realized as the artifact
CA-DATAMODEL,CO-DURABLE,achieves,artifact yields the outcome
CO-DURABLE,CP-ONEWRITER,generalizes,outcome generalized into the pattern
B-SILENT,D-RECEIPT,led_to,"silent failure -> verified receipts, no green"
B-SILENT,AP-GREEN,identifies,the machine's false-green failure mode
D-RECEIPT,P-RECEIPT,generalizes,receipt-not-promise
D-RECEIPT,A-SPEC,recorded_in,spec NFR-Honesty
B-FORCEQUIT,T-REBUILD,led_to_use,rebuild-from-disk enumerator
T-REBUILD,F-REBUILD,produced,16/16 rebuild
F-REBUILD,D-ENROLL,informed,"enrollment-on-first-sight, close enriches"
D-ENROLL,P-DERIVED,generalizes,derived-index-cannot-dangle
F-REBUILD,AP-CLOSECREATE,contradicts,refutes rows-created-by-closing
B-GRAVEYARD,D-ENROLL,motivates,graveyard shows deferred-payoff loop unused
F-DUP,D-FOCUS,informed,focus-never-launch (SPINE 1)
D-FOCUS,A-TASKS,gated_by,SLICE-31 SPINE 1 acceptance test
F-IDENTITY,CD-SHARDED,informed,bans sanitize(cwd)/identify identity
F-IDENTITY,A-PLAN,recorded_in,data-model banned-identity list
F-YAML,AP-MASTER,supports,YAML+shared-master both disqualified
AP-MASTER,CD-SHARDED,contradicts,killed by per-project sharding
B-CMUX-UNVERIFIED,T-CMUXPROBE,led_to_use,Phase-0 probe battery
T-CMUXPROBE,O-PHASE0GATE,produced,Phase-0 gates the build
B-RESIDUAL10,O-PHASE0GATE,gated_by,fix residual #10 FIRST
B-RESIDUAL10,D-DISJOINT,motivates,disjoint namespace + cwd==root assertion
T-LATTICE,F-COVERAGE,produced,"121 nodes/182 edges, 100% coverage"
F-COVERAGE,O-COVERAGE,achieves,research QA APPROVED
A-RESEARCH,O-COVERAGE,evidences,lattice + ledger
T-BLINDTASK,D-RECEIPT,supports,blind quote in the receipt
D-DR1,O-SHIPGATE,achieves,Demo 3 gates shipping
D-DR1,P-MENUFIRST,depends_on,menu-first inverts adoption economics
O-SHIPGATE,A-TASKS,realized_in,SLICE-40-dr1
A-SPEC,A-RESEARCH,precedes,specify -> research
A-RESEARCH,A-PLAN,precedes,research -> plan
A-PLAN,A-TASKS,precedes,plan -> tasks
