node_id,short_name,kind,description,actor,date,session,labels,importance,risk_category,notes
N1,mechanism-unknown,BLOCKER,"How to persistently govern assistant output register across turns",architect,2026-07-07,swarm-20260707-eden-protocol,mechanism,high,technical,"output-style vs hook vs skill; gating question"
N2,swarm-research,TOOL,"7-agent isolated swarm plus synthesizer",architect,2026-07-07,swarm-20260707-eden-protocol,research,high,none,"agents 01-07; file-isolation degraded to text-return"
N3,hook-injection-finding,FINDING,"UserPromptSubmit re-injection is the proven per-turn persistence pattern",research,2026-07-07,swarm-20260707-eden-protocol,mechanism,high,technical,"autopilot precedent; agents 01/02/06 converged independently"
N4,no-output-style-decision,DECISION,"Use state-file plus injector hook; NOT a native output style",architect,2026-07-07,swarm-20260707-eden-protocol,mechanism,high,technical,"output styles exclusive plus deprecated; would evict active Explanatory"
N5,preeng-artifacts,ARTIFACT,"spec research plan tasks plus injector/hook design",architect,2026-07-07,swarm-20260707-eden-protocol,artifact,high,none,"planning/preeng/004-acos-eden-protocol"
N6,plan-complete,OUTCOME,"Pre-eng plan complete; 10 slices ready to bridge",architect,2026-07-07,swarm-20260707-eden-protocol,outcome,high,none,"ready for /acos-execute-slice"
N7,autopilot-pattern,PATTERN,"File-check then per-turn additionalContext injection; reusable for any persistent-mode skill",learning,2026-07-07,swarm-20260707-eden-protocol,pattern,high,none,"generalizes beyond eden"
N8,scope-P0-finding,FINDING,"'every message' must mean top-level human chat only",research,2026-07-07,swarm-20260707-eden-protocol,scope,high,orchestration,"agent-07 P0; sub-agent output must not be simplified"
N9,fidelity-floor-decision,DECISION,"Adopt 8-invariant Fidelity Floor plus exempt-content passthrough",architect,2026-07-07,swarm-20260707-eden-protocol,fidelity,high,finance,"agent-05; underwrites 0-violation metric"
N10,u1-blocker,BLOCKER,"Multi-hook additionalContext concatenation unverified",research,2026-07-07,swarm-20260707-eden-protocol,mechanism,medium,technical,"spike SL-004-eden-02 before finalizing injector"
