rank,domain,syllables,ending,sound_note,checked_at
1,"brezek.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -ek hard ending",2026-07-24T03:30:54.034Z
2,"claxak.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.033Z
3,"crasas.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -as hard ending",2026-07-24T03:30:54.034Z
4,"drasuk.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
5,"flados.com",2,cons,"2-syllable coinage, gleam gl/fl onset, crisp -os hard ending",2026-07-24T03:30:54.034Z
6,"fregux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.034Z
7,"glabak.com",2,cons,"2-syllable coinage, gleam gl/fl onset, crisp -ak hard ending",2026-07-24T03:30:54.034Z
8,"grefik.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -ik hard ending",2026-07-24T03:30:54.035Z
9,"plafak.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.032Z
10,"prapuk.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -uk hard ending",2026-07-24T03:30:54.034Z
11,"slavox.com",2,cons,"2-syllable coinage, gleam gl/fl onset, crisp -ox hard ending",2026-07-24T03:30:54.034Z
12,"spazil.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -il hard ending",2026-07-24T03:30:54.032Z
13,"stevur.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ur hard ending",2026-07-24T03:30:54.034Z
14,"swamak.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.034Z
15,"trazak.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -ak hard ending",2026-07-24T03:30:54.032Z
16,"vrasuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.034Z
17,"fensok.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ok hard ending",2026-07-24T03:30:54.033Z
18,"firkex.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ex hard ending",2026-07-24T03:30:54.033Z
19,"fuldek.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ek hard ending",2026-07-24T03:30:54.033Z
20,"liphax.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ax hard ending",2026-07-24T03:30:54.033Z
21,"loskak.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.034Z
22,"luphok.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ok hard ending",2026-07-24T03:30:54.033Z
23,"mufot.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ot hard ending",2026-07-24T03:30:54.033Z
24,"naphik.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ik hard ending",2026-07-24T03:30:54.034Z
25,"nophek.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ek hard ending",2026-07-24T03:30:54.034Z
26,"nuphot.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ot hard ending",2026-07-24T03:30:54.034Z
27,"raskux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.034Z
28,"rephik.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ik hard ending",2026-07-24T03:30:54.035Z
29,"sembuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.035Z
30,"skatir.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ir hard ending",2026-07-24T03:30:54.033Z
31,"snedes.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -es hard ending",2026-07-24T03:30:54.035Z
32,"sonkax.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ax hard ending",2026-07-24T03:30:54.034Z
33,"sudruk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.034Z
34,"vedrat.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -at hard ending",2026-07-24T03:30:54.033Z
35,"vilduk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.034Z
36,"vodrot.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ot hard ending",2026-07-24T03:30:54.033Z
37,"vugrot.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ot hard ending",2026-07-24T03:30:54.034Z
38,"leltat.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -at hard ending",2026-07-24T03:30:54.033Z
39,"maltux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.033Z
40,"minsox.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ox hard ending",2026-07-24T03:30:54.034Z
41,"motrut.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ut hard ending",2026-07-24T03:30:54.034Z
42,"nendix.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ix hard ending",2026-07-24T03:30:54.034Z
43,"nigrax.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ax hard ending",2026-07-24T03:30:54.033Z
44,"ribris.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -is hard ending",2026-07-24T03:30:54.034Z
45,"rortes.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -es hard ending",2026-07-24T03:30:54.034Z
46,"ruldas.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -as hard ending",2026-07-24T03:30:54.033Z
47,"baphal.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -al hard ending",2026-07-24T03:30:54.033Z
48,"bedrak.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.034Z
49,"bidrux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.034Z
50,"blafas.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -as hard ending",2026-07-24T03:30:54.033Z
51,"bolvax.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ax hard ending",2026-07-24T03:30:54.032Z
52,"dabruk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
53,"dedruk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.034Z
54,"dibret.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -et hard ending",2026-07-24T03:30:54.034Z
55,"dondek.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ek hard ending",2026-07-24T03:30:54.034Z
