node_id,short_name,kind,description,actor,date,session,labels,importance,risk_category,notes
BLK-01,LLM-narrated verdict hazard,BLOCKER,"A sycophantic LLM on a no-ground-truth approve/decline judgment could fabricate a confident PROCEED or DECLINE with no auditable basis",swarm-agent-07,2026-07-07,preeng-003-investment-committee,verdict;determinism,high,groupthink,"Root hazard motivating the deterministic-verdict chain"
TOOL-01,axiom-synthesis resolve.py,TOOL,"Reused refutation-and-grading engine + precedence-ladder resolver terminating in UNRESOLVED; fixture-tested (54 assertions)",swarm-agent-07,2026-07-07,preeng-003-investment-committee,reuse;engine,high,engine,"orchestrate.py + resolve.py; no engine fork"
FIND-01,consensus != correctness,FINDING,"Multi-agent debate does not reliably beat voting; induces a martingale; agreement is not evidence of correctness",swarm-agent-03,2026-07-07,preeng-003-investment-committee,debate;evidence,high,groupthink,"Agents 03 and 06 independently"
DEC-01,deterministic asymmetric-veto verdict,DECISION,"Compute the verdict via resolve.py over per-discipline roll-ups with asymmetric-veto on deal-breakers; never narrated by an LLM",architect-preeng,2026-07-07,preeng-003-investment-committee,verdict;determinism,high,groupthink,"spec FR-M7 / Appendix C"
ART-01,verdict.md + compute_verdict.py,ARTIFACT,"SLICE-C3 deterministic verdict computation writing verdict.md with the deciding rung/polarity",developer-planned,2026-07-07,preeng-003-investment-committee,artifact;slice-C3,high,engine,"Reproducible from the ledger (NFR-3)"
OUT-01,reproducible verdict; UNRESOLVED first-class,OUTCOME,"Same ledger yields the same verdict; UNRESOLVED is a first-class output; no fabricated PROCEED",architect-preeng,2026-07-07,preeng-003-investment-committee,outcome;determinism,high,groupthink,"NFR-3 determinism"
PAT-01,structural-guardrails-over-debate,PATTERN,"Load accuracy onto structural guardrails (independence, diversity, falsification, deterministic verdict), not onto more talking",architect-preeng,2026-07-07,preeng-003-investment-committee,pattern;anti-groupthink,high,groupthink,"Core design thesis"
BLK-02,subagents cannot AskUserQuestion,BLOCKER,"Hard Claude Code platform constraint: spawned subagents cannot call AskUserQuestion/ExitPlanMode so none can pause for a live human",swarm-agent-04,2026-07-07,preeng-003-investment-committee,platform;hitl,high,platform,"Forces the moderator into the main conversation"
TOOL-02,top-level SKILL.md main conversation,TOOL,"The only component permitted to call AskUserQuestion; owns the human-pausing loop",swarm-agent-04,2026-07-07,preeng-003-investment-committee,skill;moderator,high,platform,"No nested moderator agent"
FIND-02,main-conversation-is-moderator,FINDING,"Mode B's moderator must be the top-level SKILL.md; an append-only transcript on disk is the source of truth",swarm-agent-04,2026-07-07,preeng-003-investment-committee,moderator;transcript,high,platform,"Agent 04 hard constraint"
DEC-02,Mode B moderator = main conversation,DECISION,"Implement the Mode B round loop in the main conversation with disk-first turn persistence",architect-preeng,2026-07-07,preeng-003-investment-committee,moderator;durability,high,platform,"spec FR-M9 / FR-M10"
ART-02,SKILL.md Mode B loop + transcript-on-disk,ARTIFACT,"SLICE-D1 moderator loop persisting every turn to rounds/round-NN before next dispatch",developer-planned,2026-07-07,preeng-003-investment-committee,artifact;slice-D1,high,platform,"Durable execution"
OUT-02,resumable HITL deliberation,OUTCOME,"Live human-chaired deliberation that survives /clear, crash, and Eternity resume",architect-preeng,2026-07-07,preeng-003-investment-committee,outcome;resume,high,platform,"NFR-4 durability"
