node_id,short_name,kind,description,actor,date,session,labels,importance,risk_category,notes
n01,API not yet provisioned,BLOCKER,Hypercore read API access is partner-gated and not yet granted; exact endpoints/auth/schemas/pagination/webhook contract unknown,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"api;access;unknown",high,external-dependency,Forces contract-first design; all live calls stubbed behind adapter
n02,Untrusted AI data answers,BLOCKER,Ad-hoc AI querying produces fabrication/stale/silent-truncation/aggregation errors making outputs unusable for IC-grade work,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"trust;hallucination",high,quality,The core problem the skill must solve
n03,Adapter contract pattern,TOOL,Client/adapter isolation with FixtureBackend + stubbed LiveBackend; read-only by omission + guard test,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"adapter;fixtures;readonly",high,architecture,Makes the whole skill buildable/testable before access
n04,Adversarial consensus + provenance + gates,TOOL,Blind N-agent substance consensus + universal provenance-binding + six deterministic gates over a two-tier data model,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"consensus;provenance;gates;twotier",high,architecture,The distinguishing verification architecture reused from ACOS priors
n05,Aggregation/truncation dominate trust failure,FINDING,Diagnostic H1: the dominant failure is aggregation/units/currency/silent-truncation that looks plausible - not raw text fabrication,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"diagnostic;H1",high,quality,Drives gate prioritization; re-validated in slice-11
n06,Contract-first buildable now,FINDING,Designing everything behind a read-only adapter contract lets the skill be built and tested on fixtures with zero live API,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"fixtures;contract",high,architecture,De-risks the unprovisioned-API blocker
n07,Stub live behind unchanged contract,DECISION,Isolate all live calls in LiveBackend (stubbed NotImplementedError); swap to live later behind the UNCHANGED contract; degrade to NO_LIVE_DATA never fabricate,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"decision;degrade;readonly",high,architecture,Plan-time decision OQ1 carried; OQ5 Python3 stdlib confirmed
n08,Refuse-on-missing + no-silent-pick,DECISION,Provenance-binding is universal (no citation -> refuse); consensus never silently picks a winner (disagree -> bounded re-dispatch -> escalate); single-source cap <=0.7,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"decision;refuse;consensus",high,quality,Non-bypassable pre-generation verification gate; quorum 2-of-3 (OQ4)
n09,Pre-eng artifact suite,ARTIFACT,spec/research/domain-lattice/evidence-ledger/plan/tech_prd/data-model/stories + 12 task files + agent_instructions + CAGE,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"artifacts;backlog",high,deliverable,All QA reports APPROVED (research/planning/tasks)
n10,12 demo-able vertical slices,ARTIFACT,stories.json + tasks/*.md: 10 epics / 12 stories / 12 vertical slices mapped to Demos 0-3 with PM/Dev/QA + learnings,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"slices;demos",high,deliverable,Feeds the ACOS slice bridge
n11,Pre-eng phase complete + bridge-ready,OUTCOME,Phases 1-6 done; tasks/analyze/instructions APPROVED; backlog ready for the ACOS slice bridge and /acos-execute-slice,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"complete;bridge",high,deliverable,Post-access milestone deferred until credentials arrive
n12,Contract-first-for-unprovisioned-API,PATTERN,Reusable pattern: design behind a stable read-only adapter contract + fixtures/mocks + graceful degradation so an unprovisioned external API does not block build/test,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"pattern;reusable",high,architecture,Canonical-candidate; pairs with provenance+consensus+gates verification stack
n13,Verification-stack-over-two-tier-model,PATTERN,Reusable pattern: universal provenance-binding + blind adversarial consensus + deterministic gates layered over a raw-truth/normalized-derived two-tier data model,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"pattern;reusable;verification",high,quality,Canonical-candidate; generalizes acos-dataroom-v2 / financial-statement / grader priors
a01,Silent pagination truncation,ANTI_PATTERN,Serving a list/aggregate without reconciling fetched count/cursor vs reported_total - hides missing records,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"antipattern;truncation",high,quality,Mitigated by pagination-completeness gate (slice-05/11)
a02,Single-source over-trust,ANTI_PATTERN,Treating a single-source / single-agent figure as high-confidence,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"antipattern;overtrust",high,quality,Mitigated by single-source confidence cap <=0.7 + consensus
a03,Guess-when-no-provenance,ANTI_PATTERN,Fabricating/guessing a value that cannot be provenance-bound instead of refusing,preeng-worker,2026-06-17,preeng-001-hypercore-ask,"antipattern;fabricate",high,quality,Mitigated by refuse-on-missing + NO_LIVE_DATA path
