Name,What it does (technical),How it helps automated designs,Drawbacks,Plain-language explanation,Source,Recommend (0-100)
Inter-table Breathing,.t + .t { margin-top: 6mm; } — adjacent-sibling selector applies a gap only between consecutive tables; the first table sits flush with content above,One CSS rule auto-spaces every back-to-back table pair without per-instance margin logic,Wrapping a div between the two tables defeats the selector; 6mm can be tight when both tables carry dense captions,Like the polite gap between two strangers in a bus queue — the rule only fires when there is somebody to leave space from,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",84
Flex-Column Bottom-Pinning,.page-body { display: flex; flex-direction: column; } with margin-top: auto on the child that should float to the bottom,"Footers, signatures and bottom-treatments anchor to the floor of the page regardless of body length, with no absolute positioning math",Requires a defined container height; Chromium can collapse flex children at page fragmentation unless paired with break-inside: avoid,Like a spring under the bottom shelf of a bookcase — whatever you put on it always ends up touching the floor,"Inside: ascent-renderer, brad, forge, ultimate-designer + outside research",82
Eyebrow Folding,Continuation pages drop the big section title and carry a small eyebrow with the section name plus a ' — continued' or ' · cont''d' marker; can be wired via @page rules + string-set or explicit .continuation class,Multi-page sections stay navigable: readers always know which chapter they are in without re-rendering the full hero on every page,Hardcoded ' — continued' string in many implementations; @page string-set is Chromium-blind so paged-media engines (Prince/WeasyPrint/PagedJS) are required for the elegant path,Like a TV episode title that appears huge in the cold open and then shrinks to a tiny corner tag for the rest of the hour,"Inside: ascent-renderer, brad, forge + outside research",70
66-Character Measure Cap,"p, li { max-width: 66ch; } or column-width: 28em for 2-column print; Bringhurst's ideal of 45-75 characters per line",Caps auto-generated body text to book-like line length without per-document tuning — the highest-leverage single fix,ch unit varies by font; on already-narrow page bodies the cap is moot,Like a paperback column — short enough that your eye does not have to swing a long tennis return to find the next line,Outside (research),76
Body Font Floor 16px,Effective body text must be at least 16px; headers proportionally larger. Enforced as a QA deduction in screenshot-first rubrics,Sets a hard floor that prevents auto-gen pipelines from emitting micro-type that passes code review but fails the back-row read test,Condensed typefaces at 16px visually read smaller; ''effective'' size requires judgement at the reviewer,"If you need a magnifier to read it, it fails — twelve-point looks fine on your laptop and disappears at the back of the room",Inside: doc-design-qa + outside research,76
Body Leading 1.4-1.5,"body { line-height: 1.5; } unitless; display sizes tightened to ~1.1. Bringhurst-codified inverse leading: smaller type wants more leading, larger type wants less",Defaults browsers ship (~1.2) are too tight for long-form; one global rule lifts the document from web-like to book-like,Looser leading inflates page count; CJK fallback metrics can render 1.5 like 1.8,"Row spacing in a parking lot — too tight and cars scrape, too wide and you waste asphalt. 1.5x is the sweet spot for small type",Outside (research),66
Display Leading Tight,h1 { line-height: 1.05-1.1 } at display sizes; never apply the body 1.5 globally,"Display headlines hold together as a unit instead of floating apart line-by-line, which is the cheapest ''looks designed'' signal",Tight leading on multi-line headlines risks descender/ascender collisions; needs per-element control,"Big drumsticks pack tighter than little ones — large type is already breathing, you do not have to add more air","Inside: ascent-renderer, brad, design-variants, doc-design-qa + outside research",88
Widows And Orphans 3,p { orphans: 3; widows: 3; } inside @media print — honored by WeasyPrint/Prince/PagedJS/Chromium-print,Eliminates the single-line-at-top-of-page disgrace and lone-first-line-at-bottom embarrassment automatically across the whole document,Firefox does not implement; aggressive settings can force short pages with whitespace pockets,Like an editor who refuses to let a single line dangle alone at the top of the next page like a guest left at an empty table,Inside: ascent-renderer + outside research,66
Knuth-Plass Paragraph Composition,"text-wrap: pretty (Chrome 117+) for global paragraph optimization, or LaTeX/Prince paragraph composer; treats the whole paragraph as the unit and minimizes ''badness'' across line breaks",Eliminates rivers and the staircase rag that greedy first-fit line-breakers produce — the #1 perceptual tell of machine-generated text,Slower than greedy; reflow cost on resize; not yet universal in headless Chromium. Chromium's `text-wrap: pretty` only tweaks the last 4 lines of a paragraph — it is NOT a full Knuth-Plass optimizer; WebKit's implementation is closer to the real algorithm.,"Greedy line-breakers pack a moving van one box at a time, never reopening. Knuth-Plass packs the whole van once you can see every box",Inside: brad + outside research,79
Hyphenation With Limits,p { hyphens: auto; hyphenate-limit-chars: 6 3 2; -webkit-hyphenate-limit-chars: 6 3 2; } plus lang=''en-US'',Required for justified text to avoid whitespace rivers; the limit values keep two-letter dangling syllables from appearing,Chromium needs hyphenation dictionaries — minimal Docker images silently no-op; without lang attribute browsers skip entirely,Lets long words break across lines like train cars — limits stop a single-letter caboose from getting stranded,Outside (research),61
