rank,name,domain,verdict_2026_07_25,verdict_2026_08_25,rechecked_at_utc,greek_seed_word,zee_shape,avg_score
1,praxut,praxut.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.591Z,praxis,"CCVCVC onset-crunch",2
2,symdol,symdol.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,symbol,"CVCCVC mid-crunch",2
3,tacnic,tacnic.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tactic,"CVCCVC mid-crunch",1.67
4,tacric,tacric.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tactic,"CVCCVC mid-crunch",1.67
5,glypar,glypar.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,glyph,"CCVCVC onset-crunch",1.67
6,tactuc,tactuc.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tactic,"CVCCVC mid-crunch",1.33
7,tympun,tympun.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tympan,"CVCCVC mid-crunch",1.33
8,cyclol,cyclol.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,cyclops,"CVCCVC mid-crunch",1.33
9,dactur,dactur.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,dactyl,"CVCCVC mid-crunch",1.33
10,mantog,mantog.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,mantic,"CVCCVC mid-crunch",1.33
11,tetrec,tetrec.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tetrad,"CVCCVC mid-crunch",1.33
12,tympic,tympic.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tympan,"CVCCVC mid-crunch",1.33
13,tympil,tympil.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tympan,"CVCCVC mid-crunch",1.33
14,gnasis,gnasis.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gnosis,"CCVCVC onset-crunch",1.33
15,gnomol,gnomol.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gnomon,"CCVCVC onset-crunch",1.33
16,gnomor,gnomor.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gnomon,"CCVCVC onset-crunch",1.33
17,gnosil,gnosil.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gnosis,"CCVCVC onset-crunch",1.33
18,gnosip,gnosip.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gnosis,"CCVCVC onset-crunch",1.33
19,gnomal,gnomal.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gnomon,"CCVCVC onset-crunch",1.33
20,emblec,emblec.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,emblem,"one cluster, other shape",1.33
21,emblom,emblom.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,emblem,"one cluster, other shape",1.33
22,iambac,iambac.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,iambic,"one cluster, other shape",1.33
23,iambir,iambir.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,iambic,"one cluster, other shape",1.33
24,emblat,emblat.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,emblem,"one cluster, other shape",1.33
25,iambur,iambur.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,iambic,"one cluster, other shape",1.33
26,choruc,choruc.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,chorus,"off-frame",1.33
27,chorug,chorug.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,chorus,"off-frame",1.33
28,chorul,chorul.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,chorus,"off-frame",1.33
29,hyphel,hyphel.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,hyphen,"off-frame",1.33
