from_id,to_id,relation_type,notes
n01,n03,addressed_by,API-not-provisioned blocker addressed by the adapter-contract tool (BLOCKER -> TOOL)
n02,n04,addressed_by,Untrusted-AI blocker addressed by the consensus+provenance+gates verification tool (BLOCKER -> TOOL)
n03,n06,produced,Adapter-contract tool produced the contract-first-buildable-now finding (TOOL -> FINDING)
n04,n05,produced,Verification-architecture tool surfaced the H1 finding that aggregation/truncation dominate (TOOL -> FINDING)
n06,n07,led_to,Contract-first finding led to the stub-live-behind-unchanged-contract decision (FINDING -> DECISION)
n05,n08,led_to,H1 finding led to the refuse-on-missing + no-silent-pick + cap decisions (FINDING -> DECISION)
n07,n09,produced,Stub-live decision produced the pre-eng artifact suite (DECISION -> ARTIFACT)
n08,n09,produced,Refuse/no-silent-pick decision produced the pre-eng artifact suite (DECISION -> ARTIFACT)
n09,n10,contains,Artifact suite contains the 12 demo-able vertical slices (ARTIFACT -> ARTIFACT)
n09,n11,enabled,Pre-eng artifact suite enabled the phase-complete + bridge-ready outcome (ARTIFACT -> OUTCOME)
n10,n11,enabled,The 12-slice backlog enabled the bridge-ready outcome (ARTIFACT -> OUTCOME)
n11,n12,generalized_to,Outcome generalized to the contract-first-for-unprovisioned-API pattern (OUTCOME -> PATTERN)
n11,n13,generalized_to,Outcome generalized to the verification-stack-over-two-tier-model pattern (OUTCOME -> PATTERN)
n12,a01,counters,Contract-first/verification patterns counter the silent-pagination-truncation anti-pattern
n13,a01,counters,Verification-stack pattern counters silent-pagination-truncation via the completeness gate
n13,a02,counters,Verification-stack pattern counters single-source over-trust via the confidence cap
n13,a03,counters,Verification-stack pattern counters guess-when-no-provenance via refuse-on-missing
n04,n13,implements,The verification-architecture tool is the concrete implementation of the verification-stack pattern
n03,n12,implements,The adapter-contract tool is the concrete implementation of the contract-first pattern
