from_id,to_id,relation_type,notes
BLK-01,TOOL-01,investigated_with,"Verdict hazard investigated with the axiom-synthesis resolver"
TOOL-01,FIND-01,surfaced,"Engine reuse surfaced the consensus-not-correctness finding"
FIND-01,DEC-01,drove,"consensus != correctness drove the deterministic-verdict decision"
DEC-01,ART-01,produces,"Decision produces the SLICE-C3 verdict computation"
ART-01,OUT-01,results_in,"verdict.md yields a reproducible, non-fabricated verdict"
OUT-01,PAT-01,generalizes_to,"Reproducible verdict generalizes to structural-guardrails-over-debate"
BLK-02,TOOL-02,investigated_with,"AskUserQuestion constraint investigated against the SKILL.md surface"
TOOL-02,FIND-02,surfaced,"Main-conversation surface surfaced the moderator finding"
FIND-02,DEC-02,drove,"main-convo-is-moderator drove the Mode B moderator decision"
DEC-02,ART-02,produces,"Decision produces the SLICE-D1 moderator loop + transcript"
ART-02,OUT-02,results_in,"Disk-first transcript yields a resumable HITL deliberation"
OUT-02,PAT-02,generalizes_to,"Resumability generalizes to transcript-as-source-of-truth"
BLK-03,TOOL-03,investigated_with,"Silent-PASS risk investigated with the 16-risk coverage map"
TOOL-03,FIND-03,surfaced,"Coverage map surfaced the two-risks-nobody-owns finding"
FIND-03,DEC-03,drove,"two-risks-nobody's-job drove the fund-scoped + fraud-mandate decision"
DEC-03,ART-03,produces,"Decision produces the SLICE-A1 roster + coverage map"
ART-03,OUT-03,results_in,"Roster yields zero uncovered risk category"
OUT-03,PAT-03,generalizes_to,"Zero-uncovered generalizes to advocate-not-scrutineer + hole-checklist"
BLK-04,DEC-04,drove,"Absent severity axis drove the Axis S extension decision"
DEC-04,ART-04,produces,"Decision produces the SLICE-C1 fact-builder + severity blob"
TOOL-04,ART-04,implements,"The fact-builder adapter implements the severity-carrying fact"
ART-04,TOOL-01,feeds,"Facts feed the axiom-synthesis engine unchanged"
PAT-04,TOOL-01,reuses,"reuse-over-rebuild reuses the axiom-synthesis engine"
PAT-04,TOOL-05,reuses,"reuse-over-rebuild reuses the legal-analyst agent"
PAT-04,DEC-04,informs,"reuse pattern informs the domain-owned Axis S decision"
BLK-05,DEC-05,drove,"autopilot silent auto-answer drove the detection + fallback decision"
DEC-05,ART-05,produces,"Decision produces the SLICE-F1 autopilot detection guardrail"
ART-05,OUT-02,protects,"Autopilot detection protects the HITL deliberation outcome"
DEC-06,TOOL-05,delegates_to,"Legal decision delegates document diligence to legal-analyst"
DEC-06,ART-06,produces,"Decision produces the SLICE-E1 legal seat + conflicts record"
DEC-01,ANTI-01,contradicts,"Deterministic verdict contradicts consensus-as-correctness"
DEC-01,ANTI-02,contradicts,"Deterministic verdict contradicts LLM-narrated-verdict"
DEC-03,ANTI-03,contradicts,"Fund-scoped + fraud mandate contradicts silent concentration/fraud pass"
PAT-01,ANTI-04,mitigates,"Structural guardrails (model/persona diversity) mitigate correlated same-model error"
FIND-01,ANTI-01,evidences,"consensus != correctness evidences the consensus-as-correctness anti-pattern"
TOOL-01,ANTI-02,contradicts,"axiom-synthesis routes conflicts through resolve_conflict() not an aggregator blend"
