node_id,short_name,kind,description,actor,date,session,labels,importance,risk_category,notes
n01,No free national owner search,BLOCKER,Ownership lives across ~3100 counties under 48+ recording statutes with no unified free owner-name index; a single owner-name search misses most of a portfolio,preeng-worker,2026-06-19,preeng-002-acos-property-search,"completeness;fragmentation",high,coverage,Forces the union-of-channels strategy; the central premise of the whole design
n02,Concealment + name-blocked + compliance risk,BLOCKER,Sophisticated actors conceal title (LLC/land-trust/nominee/series-LLC); CA/NJ/Cook suppress owner names; skip-tracing carries DPPA/FCRA/FDCPA/GLBA exposure,preeng-worker,2026-06-19,preeng-002-acos-property-search,"concealment;nameblocked;legal",high,quality,Drives the recorder-index workaround + piercing playbook + blocking compliance gate
n03,Multi-channel union + entity graph + hub-guard,TOOL,9 discovery channels unioned over an entity graph with temporal/provenance edges and a hub-guard (stop-list + dynamic detection >=25 + hop limit 2 + log-every-prune),preeng-worker,2026-06-19,preeng-002-acos-property-search,"channels;graph;hubguard",high,architecture,The completeness+precision engine; v1 ships channels 1-4 + recorder full
n04,Blind isolated swarm + between-rounds synthesizer + blocking compliance gate,TOOL,Per-round isolated blind agents (subscription-only Task()) + a synthesizer (corroboration/conflict-preservation/prune/next-seeds/loop-stop) behind a BLOCKING permissible-purpose gate,preeng-worker,2026-06-19,preeng-002-acos-property-search,"swarm;synthesizer;compliancegate",high,architecture,Corroboration-via-isolation + conflict preservation + the legal control point
n05,Widest net = union of channels/pivots not one search,FINDING,Diagnostic H1: completeness comes from maximizing independent discovery channels + entity-graph pivots and taking the union; H2 blind isolation makes corroboration non-circular; H3 unguarded graph explodes (N^2),preeng-worker,2026-06-19,preeng-002-acos-property-search,"diagnostic;H1;H2;H3",high,coverage,Validated in slice-00; re-validated in the slice-11 dry run
n06,Recorder index is highest-yield + free-sources-only is viable,FINDING,The recorder grantor-grantee index is the highest-yield free channel and the name-blocked workaround; FinCEN BOI is unusable and paid APIs are excludable without losing core coverage,preeng-worker,2026-06-19,preeng-002-acos-property-search,"recorder;freeonly",high,architecture,Centers v1 on channels 1-4 + recorder; BOI flag-only
n07,Embed hub-guarded swarm + 75/50/25/2 defaults,DECISION,D1 embed adapted swarm; D3 hard blocking compliance gate; D4 channels 1-4 + recorder full; D6 tiers 75/50; D7 hub threshold 25; D8 hop limit 2; stdlib-only; hedged language,preeng-worker,2026-06-19,preeng-002-acos-property-search,"decision;defaults;D1-D8",high,architecture,Locked in an acos-decide ADR at slice-00; tunable defaults marked Assumption
n08,Preserve conflicts + Verified=2+ + estimates-labeled,DECISION,Synthesizer preserves conflicting owner names as review flags (never harmonize); Verified requires 2+ independent isolated agents; hub-only links capped <=40; every equity figure labeled estimated; hedged language throughout,preeng-worker,2026-06-19,preeng-002-acos-property-search,"decision;conflictpreserve;hedged",high,quality,Non-bypassable correctness + legal-control rules baked into slices 06/09/10/11
n09,Pre-eng artifact suite,ARTIFACT,spec/research/domain-brief/domain-cqs/domain-lattice/evidence-ledger/plan/tech_prd/data-model/stories + 12 task files + agent_instructions + CAGE,preeng-worker,2026-06-19,preeng-002-acos-property-search,"artifacts;backlog",high,deliverable,All QA reports APPROVED (research/planning/tasks); lattice CQ coverage 100%
n10,12 demo-able vertical slices,ARTIFACT,stories.json + tasks/*.md: 12 epics / 12 stories / 12 vertical slices mapped to Demos 0-3 with PM/Dev/QA + Dev/QA Learnings,preeng-worker,2026-06-19,preeng-002-acos-property-search,"slices;demos",high,deliverable,Feeds the ACOS slice bridge (planning/slices/*.yaml)
n11,Pre-eng phase complete + bridge-ready,OUTCOME,Phases 1-6 done; research/planning/tasks QA APPROVED; backlog ready for the ACOS slice bridge and /acos-execute-slice,preeng-worker,2026-06-19,preeng-002-acos-property-search,"complete;bridge",high,deliverable,Runs in parallel with the actual skill-file build; this is the planning record
n12,Multi-channel-union-with-hub-guarded-blind-swarm,PATTERN,Reusable pattern: union many independent free discovery channels over an entity graph; corroborate via blind isolated agents; bound precision with a hub-guard + hop limit + log-every-prune,preeng-worker,2026-06-19,preeng-002-acos-property-search,"pattern;reusable",high,architecture,Canonical-candidate; generalizes any embarrassingly-parallel free-source discovery problem
n13,Compliance-gated-provenance-first-discovery,PATTERN,Reusable pattern: a BLOCKING permissible-purpose gate + per-datum provenance + conflict preservation + hedged language + estimated-figures-labeled make a legally-sensitive free-source dossier defensible,preeng-worker,2026-06-19,preeng-002-acos-property-search,"pattern;reusable;compliance",high,quality,Canonical-candidate; generalizes skip-trace / OSINT / asset-recovery deliverables
a01,Single-channel owner-name search,ANTI_PATTERN,Searching only the assessor owner name; misses LLC/trust transfers and name-blocked holdings,preeng-worker,2026-06-19,preeng-002-acos-property-search,"antipattern;singlechannel",high,coverage,Countered by the multi-channel union + recorder index
a02,Expanding siblings through a hub,ANTI_PATTERN,Expanding through a commercial registered agent / shared address -> N^2 false links; unbounded expansion blows up the graph,preeng-worker,2026-06-19,preeng-002-acos-property-search,"antipattern;hubblowup",high,quality,Countered by the hub-guard + hop limit + inverse-frequency weighting
a03,Silently harmonizing conflicts / fabricating equity / over-claiming,ANTI_PATTERN,Resolving conflicting owner names silently; presenting estimates as AVMs; saying definitely-owns without title; proceeding without the compliance gate,preeng-worker,2026-06-19,preeng-002-acos-property-search,"antipattern;harmonize;fabricate;overclaim",high,quality,Countered by conflict preservation + estimates-labeled + hedged language + the blocking gate
