property_id,property_name,address,city,state,county_or_jurisdiction,entity_owner,parcel_id,parcel_id_format,title_file_ref,portal_url,notes
LUX2-01,Hot Pots Land,715 N River Road,Midway,UT,Wasatch County,Midway Farms 715 LLLP,OUQ-0002 / 00-0021-6441,Wasatch Tax ID (OUQ-NNNN / NN-NNNN-NNNN),Title/2610670 Lender's Proforma_2.pdf,https://wasatch.utah.gov/Services/Information-Lookup-Services/Property-Tax-Information-Lookup/Current-Year-Property-Tax-Lookup,Legal: Lot 2 Mountain Spa Rural Preservation Subdivision. GREENBELT via 1969 Farmland Assessment Act — 5-yr rollback risk if use changes. 2024 taxes paid $88.20.
LUX2-02,Kauai - Anini Big House,4200 Anini Vista Dr Unit D,Kilauea,HI,Kauai County,Skywalker Farms LLC,4-5-3-009-004-0004,Hawaii TMK (D-Z-S-PPP-PPP-CCCC),Title/0560080 ALTA Loan Policy (HI).pdf,https://kauairpt.ehawaii.gov/propertytax/,Amount of Insurance $11.57MM; Kohola Point Condominium unit
LUX2-03,Puerto Rico - Security House,28 Paseo Las Palmas (Solar 28),Dorado,PR,CRIM (Municipio de Dorado),Beach Farms LLC,PR-Dorado-13215,PR Registry property # (vol 258 p 168),"Title/ALTA Commitment ... Property 13,215 Dorado.pdf",https://www.crimpr.net/,Schedule B Part I item 12 explicitly requires Evidence of payment of property taxes debts; CRIM catastro not yet known (requires Debt Certificate from First American PR agent)
LUX2-04,Kauai - Santana,4201 Anini Vista Dr Unit C,Kilauea,HI,Kauai County,Skywalker Farms 2 LLC,4-5-3-009-004-0003,Hawaii TMK,Title/0560078 ALTA Loan Policy (HI).pdf,https://kauairpt.ehawaii.gov/propertytax/,Amount of Insurance $4.9MM; Kohola Point Condominium unit
LUX2-05,Kauai - Silver Farms,2818 N Kamookoa Road Unit 1,Kilauea,HI,Kauai County,Skywalker Farms 3 LLC,4-5-2-022-025-0001,Hawaii TMK,Title/0560079 ALTA Loan Policy (HI).pdf,https://kauairpt.ehawaii.gov/propertytax/,Amount of Insurance $8.4MM; Kalihiwai Ridge parcel
LUX2-06,Miami - Penthouse,102 24th St #1520,Miami Beach,FL,Miami-Dade County,1520 Sunset Farms LLLP,TODO (auto-resolves on first run),Miami-Dade folio (NN-NNNN-NNN-NNNN),Title/25000330100 (florida) - Commitment.pdf,https://miamidade.county-taxes.com/public/search/property_tax,Condominium Parcel No. 1520 of 2399 Collins Avenue Condominium; Schedule B I item 17 requires payment of Special Assessments/Bills/Municipal Liens. Scraper auto-resolves via address search.
LUX2-07,Puerto Rico - Primary Home,17 Dorado Beach Estates (Lot 17 North Side Development Phase One),Dorado,PR,CRIM (Municipio de Dorado),Wright W. & Stephanie M. Thurston (individuals),PR-Dorado-1855,PR Registry property # (vol 49 p 118),"Title/ALTA Commitment ... Property 1855 Dorado.pdf",https://www.crimpr.net/,Titled in individuals not SPE — verify Act 60 / homestead exemption claims; 17400 sqft residence; PR commitment Insurance $20MM
LUX2-08,Sundance - Big Cabin,3060 E Deer Run Rd,Sundance,UT,Utah County,Sundance Farms 3060 LLLP,52:827:0034,Utah County serial (NN:NNN:NNNN),Title/2610728 Lender's Proforma_2.pdf,https://treasurer.utahcounty.gov/,Legal: Lot 18 Stewart Cascadelands Plat A Planned Dwelling Group (Second Plat Amendment). 2024 taxes paid $36751.74.
LUX2-09,Sundance - Small Cabin,3093 E Deer Run Rd,Sundance,UT,Utah County,Sundance Farms 3093 LLLP,52:827:0032,Utah County serial,Title/2610752 Lender's Proforma_2.pdf,https://treasurer.utahcounty.gov/,Legal: Lot 19 Stewart Cascadelands Plat A. 2024 taxes paid $10935.53.
LUX2-10,Charleston Ranch,2795 W Eiger Dr,Charleston,UT,Wasatch County,Midway Farms 2795 LLLP,OCH-0002-A / 00-0015-1956,Wasatch Tax ID,Title/2610696 Lender's Proforma_2.pdf,https://wasatch.utah.gov/Services/Information-Lookup-Services/Property-Tax-Information-Lookup/Current-Year-Property-Tax-Lookup,"Legal: Lot 2 Christian Subdivision Amended. 2024 taxes paid $60,439.52. Farmland Assessment Act rollback exposure per Sched B item 8."
LUX2-11,Sundance - Sperry Cabin,3070 E Stewart Rd,Provo,UT,Utah County,Sundance Farms 3070 LLC LLLP,52:827:0020,Utah County serial,Title/2610766 Lender's Proforma_2.pdf,https://treasurer.utahcounty.gov/,Legal: Lot 20 Stewart Cascadelands Plat A. Street spelled 'Stewart' in title vs 'Steward' in Master Property List. 2024 taxes paid $12487.68.
