from_id,to_id,relation_type,notes
N001,N002,addressed_by,"The blocker is what the probe exists to test. Required chain link 1 -> 2 (BLOCKER -> TOOL)."
N002,N003,produced_finding,"Running the ladder is what turns 'assumed' into 'measured'. Chain link 2 -> 3 (TOOL -> FINDING)."
N003,N004,informed_decision,"Because no pure-TS rung is proven, everything server-dependent is gated. Chain link 3 -> 4 (FINDING -> DECISION)."
N004,N005,realised_as,"The decision becomes the first slice of the plan. Chain link 4 -> 5 (DECISION -> ARTIFACT)."
N005,N006,yielded,"Under an hour of probe work decides buildability. Chain link 5 -> 6 (ARTIFACT -> OUTCOME)."
N006,N007,generalised_to,"The reusable rule extracted from the outcome. Chain link 6 -> 7 (OUTCOME -> PATTERN). Completes the required BLOCKER->TOOL->FINDING->DECISION->ARTIFACT->OUTCOME->PATTERN chain."
N007,N005,instantiated_by,"S01 is the pattern's first instance; S02-S06 are the other five."
N001,N004,constrains,"Blocking=true on S01 is the direct expression of this blocker."
N002,N005,specified_in,"The probe's procedure is the Steps section of the S01 task file."
N008,N009,addressed_by,"Silent truncation is what the envelope manifest exists to detect."
N009,N010,produced_finding,"Building the envelope forced the realisation that the generation output, not the prompt, is the artifact of record."
N010,N011,informed_decision,"If the result is the artifact and the channel is a lottery, the channel must become optional."
N011,N032,realised_as,"Local Regeneration Mode is slice S20 inside the emitted backlog."
N008,N032,mitigated_in,"S17 emits the envelope, S18 parses it, S19 validates and quarantines."
N012,N013,addressed_by,"The eight-control posture is the answer to the localhost trust problem."
N013,N032,realised_as,"S37, S38 and S39 carry the posture, the reconciliation protocol and the ownership guard."
N012,N014,co_occurs_with,"Both are consequences of the same design: a local server two actors write to."
N014,N015,addressed_by,"409 plus editor.lock plus tab claim plus the PreToolUse guard."
N015,N032,realised_as,"S38 and S39."
N016,N017,addressed_by,"layout.json as the only source of truth is the direct refusal of DOM-as-truth."
N017,N024,enables,"Re-render with editor:false is only possible because the document, not the DOM, is authoritative."
N017,N032,realised_as,"S24 the document schema and S25 the pure renderer."
N018,N019,informed_decision,"The market record is the argument the decision had to overrule, and it did so knowingly."
N019,N020,realised_as,"Epic E9, seven sequenced sub-slices plus a tradeable tail."
N020,N021,yielded,"Demo 3 at S50 is where D2 stops being a settled decision and becomes an observation."
N021,N022,generalised_to,"Retire a risk by scheduling it, not by writing about it."
N019,N035,gated_by,"DECISION 1 resolved rows 4(a), 4(b) and consequentially 7 - and left four rows unsigned."
N018,N021,tested_by,"Demo 3 is the local re-run of the experiment the market already lost."
N023,N024,addressed_by,"Eight purity gates plus the 32-check lock-time checklist."
N024,N025,produced_finding,"Specifying two-build byte equality is what exposed that no source establishes it."
N025,N026,informed_decision,"Spike before promising; write S4 against the spike's outcome."
N026,N032,realised_as,"S05 the reproducibility spike, wired as a transitive prerequisite of S67."
N025,N027,warns_of,"Adopting normalised comparison while still calling it a guarantee produces the disabled-gate failure."
N027,N029,contrasted_with,"The anti-pattern is what the machine-checkable-only line is defending against."
N028,N029,generalised_to,"NG1 stated as a reusable governance rule rather than a one-off prohibition."
N028,N032,constrains,"No slice in the backlog contains an aesthetic scoring step."
N030,N031,addressed_by,"Section-qualified citation as the interim rule until a renumbering pass lands."
N031,N032,applied_in,"All 11 A91+ citations in stories.json and the task files are section-qualified."
N030,N037,co_occurs_with,"Both are id-integrity defects in the same document set, found by the same mechanical sweep."
N032,N033,yielded,"The 188/188 exact partition, computed rather than asserted."
N033,N034,generalised_to,"One requirement, one owner, enforced by script."
N034,N038,applied_in,"The analysis re-ran the partition check in both directions before publishing it."
N036,N038,recorded_in,"The dependency gap is a new finding published in the analysis report's defect register."
N037,N038,recorded_in,"The four-for-four demo id disagreement is published with plan.md named as the owner of the edit."
N035,N038,recorded_in,"The unsigned sign-off rows are published as the build-start gate."
N038,N039,yielded,"Pre-engineering completes with every contradiction visible and none silently fixed."
N039,N040,generalised_to,"Record the contradiction, name who owns the edit, do not resolve it silently."
N040,N031,instantiated_by,"Section-qualified citation is this pattern applied to the id collisions."
N040,N037,instantiated_by,"The demo id disagreement is carried, not patched."
N007,N022,reinforces,"Both patterns say the same thing from opposite ends: run the disqualifying experiment early."
N029,N040,reinforces,"Machine-checkable-only and record-the-contradiction are the two halves of the governance posture."
N005,N032,part_of,"S01 is one of the 78 task files."
N020,N032,part_of,"E9's sub-slices are part of the emitted backlog."
N032,N038,analysed_by,"The analysis report's coverage tables are computed from stories.json and tasks/."
N001,N036,analogous_to,"Both are gates that exist in prose; only Gate 16-A is also wired into the dependency graph."
N011,N022,reinforces,"Making the risky leg optional is the same move as scheduling the risky mechanic early."
