from_id,to_id,relation_type,notes
n01,n03,addressed_by,No-free-national-search blocker addressed by the multi-channel-union + entity-graph + hub-guard tool (BLOCKER -> TOOL)
n02,n04,addressed_by,Concealment/name-blocked/compliance blocker addressed by the blind-swarm + synthesizer + blocking-gate tool (BLOCKER -> TOOL)
n03,n05,produced,The union+graph+hub-guard tool surfaced the H1/H2/H3 finding (TOOL -> FINDING)
n04,n06,produced,The swarm+synthesizer+gate tool surfaced the recorder-highest-yield + free-only-viable finding (TOOL -> FINDING)
n05,n07,led_to,H1/H2/H3 led to the embed-swarm + 75/50/25/2 default decisions (FINDING -> DECISION)
n06,n08,led_to,The recorder/free-only finding led to the preserve-conflicts + Verified=2+ + estimates-labeled decisions (FINDING -> DECISION)
n07,n09,produced,The default decisions produced the pre-eng artifact suite (DECISION -> ARTIFACT)
n08,n09,produced,The correctness/legal-control decisions produced the pre-eng artifact suite (DECISION -> ARTIFACT)
n09,n10,contains,The artifact suite contains the 12 demo-able vertical slices (ARTIFACT -> ARTIFACT)
n09,n11,enabled,The pre-eng artifact suite enabled the phase-complete + bridge-ready outcome (ARTIFACT -> OUTCOME)
n10,n11,enabled,The 12-slice backlog enabled the bridge-ready outcome (ARTIFACT -> OUTCOME)
n11,n12,generalized_to,The outcome generalized to the multi-channel-union-with-hub-guarded-blind-swarm pattern (OUTCOME -> PATTERN)
n11,n13,generalized_to,The outcome generalized to the compliance-gated-provenance-first-discovery pattern (OUTCOME -> PATTERN)
n12,a01,counters,The multi-channel-union pattern counters the single-channel-owner-name anti-pattern
n12,a02,counters,The hub-guarded pattern counters expanding-siblings-through-a-hub via the hub-guard + hop limit
n13,a03,counters,The compliance-gated-provenance-first pattern counters silent-harmonization/fabrication/over-claiming
n03,n12,implements,The union+graph+hub-guard tool is the concrete implementation of the multi-channel-union pattern
n04,n13,implements,The swarm+synthesizer+gate tool is the concrete implementation of the compliance-gated-provenance-first pattern
